molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,Molecular_Weight,LogP,HBD,HBA,pIC50
CHEMBL2408746,intermediate,414.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(OC(C)C)cc21,448.5100000000002,3.273500000000002,3,5,6.382999658879101
CHEMBL2408765,intermediate,378.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(C(C)(C)C)cc21,444.56600000000026,4.337600000000004,3,3,6.422508200162775
CHEMBL2408747,intermediate,221.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(OC3CCCC3)cc21,474.54800000000034,3.8077000000000023,3,5,6.655607726314889
CHEMBL2408743,intermediate,186.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(F)F)cc21,468.4910000000002,3.684000000000003,3,4,6.730487055782084
CHEMBL2408742,intermediate,148.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(C)F)cc21,464.52800000000025,3.776900000000003,3,4,6.8297382846050425
CHEMBL2408740,intermediate,127.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CS(=O)(=O)Cc2ccc(C(C)C)cc21,480.5770000000002,2.7556000000000003,3,5,6.896196279044043
CHEMBL2408739,intermediate,116.0,CCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(C)=O)CS(=O)(=O)C2,466.5500000000002,2.1946000000000003,3,5,6.935542010773082
CHEMBL2408764,active,93.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(CC(C)C)cc21,444.56600000000026,4.2386000000000035,3,3,7.031517051446065
CHEMBL2408758,active,89.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(OC(F)(F)F)cc21,502.4800000000002,4.163500000000003,3,5,7.050609993355087
CHEMBL2408744,active,60.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(C)C#N)cc21,471.5480000000003,3.5785800000000023,3,5,7.221848749616356
CHEMBL2408737,active,46.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(C)C)cc21,460.5650000000003,4.074900000000003,3,4,7.337242168318426
CHEMBL2408760,active,45.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(CC(C)(C)C)cc21,458.5930000000003,4.628700000000005,3,3,7.346787486224656
CHEMBL2408741,active,42.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CS(=O)(=O)Cc2ccc(CC(C)(C)C)cc21,508.6310000000003,3.2208000000000014,3,5,7.376750709602099
CHEMBL2408755,active,22.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC2(CC2)Oc2ccc(CC(C)(C)C)cc21,486.60300000000035,4.607500000000004,3,4,7.657577319177793
CHEMBL2408752,active,15.0,CCC[C@]1(C)C[C@H](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)c2cc(CC(C)(C)C)ccc2O1,516.6730000000002,5.6337000000000055,3,4,7.823908740944319
CHEMBL2408756,active,9.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(CC(C)(F)F)cc21,496.54500000000024,4.462600000000004,3,4,8.045757490560675
